Date,Price,Open,High,Low,Vol.,Change %
02/02/2022,88.30,86.70,89.00,84.40,291.54K,4.74%
02/03/2022,85.90,88.80,90.70,85.20,223.99K,-2.72%
02/06/2022,86.10,88.00,88.10,85.50,124.22K,0.23%
02/07/2022,86.60,86.60,87.90,86.20,115.88K,0.58%
02/08/2022,86.30,87.90,88.70,86.10,113.88K,-0.35%
02/09/2022,86.60,86.40,87.40,86.40,59.70K,0.35%
02/10/2022,86.20,86.60,87.80,85.70,126.54K,-0.46%
02/13/2022,85.00,86.70,87.00,83.50,98.82K,-1.39%
02/14/2022,84.70,85.40,85.50,84.00,80.28K,-0.35%
02/15/2022,83.00,84.70,84.90,82.50,97.86K,-2.01%
02/16/2022,83.50,84.00,84.80,82.90,32.05K,0.60%
02/17/2022,83.00,83.10,85.00,82.50,40.65K,-0.60%
02/20/2022,82.00,82.30,82.80,80.00,27.01K,-1.20%
02/22/2022,83.00,82.60,83.40,82.20,86.79K,1.22%
02/23/2022,81.30,83.70,85.40,80.90,172.86K,-2.05%
02/24/2022,79.50,84.30,84.80,79.10,191.73K,-2.21%
02/27/2022,75.60,79.50,79.50,74.70,186.28K,-4.91%
02/28/2022,77.40,77.00,78.10,76.20,86.74K,2.38%
03/01/2022,77.90,77.20,79.90,77.00,105.27K,0.65%
03/02/2022,77.70,77.90,79.50,76.10,135.44K,-0.26%
03/03/2022,77.30,78.90,79.80,77.00,106.02K,-0.51%
03/06/2022,76.00,77.00,78.00,75.90,71.19K,-1.68%
03/07/2022,73.30,75.30,75.40,72.80,82.46K,-3.55%
03/08/2022,72.70,72.10,73.90,70.60,107.70K,-0.82%
03/09/2022,76.00,73.00,76.30,73.00,48.79K,4.54%
03/10/2022,74.80,77.00,77.50,74.60,103.99K,-1.58%
03/13/2022,76.40,76.70,76.90,75.10,36.41K,2.14%
03/14/2022,77.20,77.10,78.60,75.60,99.08K,1.05%
03/15/2022,78.40,77.90,78.90,77.20,62.94K,1.55%
03/16/2022,78.10,78.70,80.00,77.70,68.79K,-0.38%
03/20/2022,76.60,78.10,78.10,76.60,39.33K,-1.92%
03/21/2022,75.10,75.60,75.80,75.10,41.41K,-1.96%
03/22/2022,75.20,73.70,77.90,73.60,73.32K,0.13%
03/23/2022,75.10,76.90,77.60,74.80,91.88K,-0.13%
03/24/2022,76.40,75.00,77.80,75.00,101.83K,1.73%
03/27/2022,76.00,76.00,77.60,75.80,68.06K,-0.52%
03/28/2022,74.70,76.90,76.90,74.60,139.60K,-1.71%
03/29/2022,74.60,75.40,75.40,74.50,84.20K,-0.13%
03/30/2022,75.90,75.90,76.40,75.00,49.30K,1.74%
03/31/2022,75.10,76.00,76.30,75.00,40.17K,-1.05%
04/03/2022,75.30,76.10,76.10,75.00,44.60K,0.27%
04/04/2022,74.50,75.40,75.40,74.10,66.98K,-1.06%
04/05/2022,73.70,75.40,75.40,73.40,31.70K,-1.07%
04/06/2022,73.10,74.40,74.40,72.90,33.93K,-0.81%
04/07/2022,72.10,74.00,74.00,71.70,58.95K,-1.37%
04/10/2022,72.90,74.40,74.40,72.10,6.65K,1.11%
04/11/2022,72.40,74.20,74.30,72.00,20.79K,-0.69%
04/12/2022,71.00,71.50,73.00,71.00,15.14K,-1.93%
04/13/2022,70.90,71.00,71.60,69.80,9.49K,-0.14%
04/17/2022,70.50,71.10,72.20,70.00,29.01K,-0.56%
04/18/2022,69.10,70.00,70.00,69.10,26.24K,-1.99%
04/19/2022,70.00,71.40,71.40,68.30,29.26K,1.30%
04/20/2022,71.50,70.50,71.80,70.00,6.65K,2.14%
04/21/2022,72.10,71.00,72.40,69.50,44.06K,0.84%
04/24/2022,72.70,73.40,73.40,72.00,13.13K,0.83%
04/25/2022,71.70,73.00,73.00,71.20,13.23K,-1.38%
04/26/2022,71.20,71.80,72.70,71.10,17.43K,-0.70%
04/27/2022,71.80,71.60,72.80,71.60,3.65K,0.84%
04/28/2022,72.20,72.00,72.50,71.20,6.78K,0.56%
05/05/2022,71.60,74.00,74.00,71.30,11.46K,-0.83%
05/08/2022,71.60,71.60,72.50,71.20,49.68K,0.00%
05/09/2022,73.10,71.80,73.50,71.80,49.62K,2.09%
05/10/2022,72.60,72.60,73.40,72.40,28.89K,-0.68%
05/11/2022,71.90,72.40,72.90,71.60,22.09K,-0.96%
05/12/2022,71.40,71.50,72.00,70.70,27.32K,-0.70%
05/16/2022,68.00,71.20,71.20,68.00,45.47K,-4.76%
05/17/2022,67.80,68.00,68.60,66.70,40.29K,-0.29%
05/18/2022,66.60,67.30,68.10,66.40,34.77K,-1.77%
05/19/2022,64.80,65.20,66.00,63.80,45.47K,-2.70%
05/22/2022,63.30,66.00,66.00,62.80,41.33K,-2.31%
05/23/2022,65.20,68.80,68.80,64.00,21.71K,3.00%
05/24/2022,64.00,64.60,67.50,63.50,43.35K,-1.84%
05/25/2022,64.40,64.00,64.90,63.10,10.78K,0.63%
05/26/2022,65.10,64.10,65.80,63.20,46.73K,1.09%
05/29/2022,66.80,68.00,68.00,66.00,21.81K,2.61%
05/30/2022,67.90,68.80,68.80,67.20,38.19K,1.65%
05/31/2022,67.40,67.00,69.10,66.80,57.08K,-0.74%
06/01/2022,68.60,68.70,69.90,66.80,51.68K,1.78%
06/02/2022,71.10,68.70,71.50,68.60,105.40K,3.64%
06/05/2022,73.80,70.50,74.00,70.50,163.06K,3.80%
06/06/2022,74.10,74.50,77.90,73.80,179.65K,0.41%
06/07/2022,73.80,74.90,75.90,73.70,101.15K,-0.40%
06/08/2022,73.90,73.20,75.00,73.00,62.37K,0.14%
06/09/2022,72.90,73.10,74.60,72.50,78.91K,-1.35%
06/12/2022,71.50,71.50,73.90,71.50,44.93K,-1.92%
06/13/2022,70.10,73.00,73.00,70.10,40.95K,-1.96%
06/14/2022,69.90,70.20,71.90,69.50,26.65K,-0.29%
06/15/2022,70.10,69.80,71.40,69.50,48.01K,0.29%
06/16/2022,70.50,70.00,72.00,70.00,47.82K,0.57%
06/19/2022,69.10,71.30,71.30,69.10,82.01K,-1.99%
06/20/2022,67.80,68.50,69.90,67.80,56.86K,-1.88%
06/21/2022,67.20,66.80,67.70,66.50,93.54K,-0.88%
06/22/2022,67.70,67.10,68.30,67.10,12.08K,0.74%
06/23/2022,67.00,67.70,68.50,66.50,86.03K,-1.03%
06/26/2022,66.30,67.00,68.70,66.20,20.00K,-1.04%
06/27/2022,67.40,65.80,68.20,65.80,26.97K,1.66%
06/28/2022,67.90,68.00,68.30,67.10,28.59K,0.74%
06/29/2022,67.70,67.90,68.00,67.10,37.45K,-0.29%
06/30/2022,67.80,68.90,68.90,67.20,24.09K,0.15%
