Date,Price,Open,High,Low,Vol.,Change %
02/02/2022,23.10,22.40,24.00,22.40,7.77M,3.59%
02/03/2022,23.20,23.50,23.80,22.90,5.60M,0.43%
02/06/2022,22.40,23.60,23.70,22.20,6.37M,-3.45%
02/07/2022,21.90,22.50,22.70,21.60,3.62M,-2.23%
02/08/2022,22.20,21.90,22.50,21.50,3.32M,1.37%
02/09/2022,21.90,22.20,22.50,21.80,1.92M,-1.35%
02/10/2022,22.10,22.10,22.70,21.70,4.30M,0.91%
02/13/2022,21.80,22.20,22.50,21.70,2.04M,-1.36%
02/14/2022,21.60,21.90,21.90,21.30,2.66M,-0.92%
02/15/2022,21.00,21.70,21.70,20.80,2.67M,-2.78%
02/16/2022,20.90,21.40,21.50,20.90,1.60M,-0.48%
02/17/2022,21.50,21.30,22.10,21.00,3.47M,2.87%
02/20/2022,21.10,21.70,21.80,21.00,1.71M,-1.86%
02/22/2022,20.70,21.10,21.30,20.50,1.56M,-1.90%
02/23/2022,20.90,21.00,21.30,20.80,1.35M,0.97%
02/24/2022,20.20,21.00,21.20,20.10,1.97M,-3.35%
02/27/2022,19.10,19.20,19.70,19.00,2.50M,-5.45%
02/28/2022,19.80,19.20,20.30,19.20,1.97M,3.66%
03/01/2022,19.80,19.90,20.30,19.60,1.90M,0.00%
03/02/2022,19.00,19.70,19.90,18.80,1.66M,-4.04%
03/03/2022,19.40,19.00,19.70,18.70,1.32M,2.11%
03/06/2022,19.20,19.50,19.70,19.10,959.22K,-1.03%
03/07/2022,18.70,19.30,19.30,18.50,1.66M,-2.60%
03/08/2022,19.10,18.80,19.40,18.20,1.83M,2.14%
03/09/2022,20.40,19.20,20.50,19.20,2.42M,6.81%
03/10/2022,21.10,20.40,21.20,20.00,4.47M,3.43%
03/13/2022,22.80,21.10,23.00,21.00,7.94M,8.06%
03/14/2022,22.40,22.90,22.90,22.40,2.78M,-1.75%
03/15/2022,22.00,22.30,22.40,22.00,3.79M,-1.79%
03/16/2022,21.80,22.00,22.40,21.60,3.66M,-0.91%
03/20/2022,21.40,21.90,22.00,21.40,1.82M,-1.83%
03/21/2022,21.60,21.20,21.80,21.00,2.07M,0.93%
03/22/2022,21.50,21.90,22.20,21.30,2.57M,-0.46%
03/23/2022,22.10,21.90,22.80,21.60,6.15M,2.79%
