Date,Price,Open,High,Low,Vol.,Change %
02/02/2022,32.75,31.47,33.04,30.98,204.63K,1.21%
02/03/2022,33.04,32.84,33.14,32.45,54.82K,0.90%
02/06/2022,33.24,33.33,33.73,32.75,201.95K,0.59%
02/07/2022,33.53,33.24,33.73,32.94,130.54K,0.88%
02/08/2022,33.14,32.55,33.73,32.45,109.74K,-1.17%
02/09/2022,32.94,33.53,33.53,32.84,36.87K,-0.59%
02/10/2022,32.94,33.04,33.73,32.84,132.49K,0.00%
02/13/2022,33.14,33.14,33.24,32.55,45.34K,0.60%
02/14/2022,32.84,33.24,34.02,32.84,197.28K,-0.89%
02/15/2022,32.45,32.55,33.24,31.47,118.31K,-1.19%
02/16/2022,32.75,32.65,32.94,32.55,65.35K,0.91%
02/17/2022,32.55,33.24,33.24,32.45,140.72K,-0.60%
02/20/2022,32.06,31.86,32.55,31.86,44.20K,-1.51%
02/22/2022,31.47,32.25,32.25,31.18,75.97K,-1.83%
02/23/2022,31.57,31.37,32.06,29.90,91.81K,0.31%
02/24/2022,31.18,31.57,31.76,30.98,94.09K,-1.24%
02/27/2022,30.00,32.06,32.06,29.90,86.23K,-3.77%
02/28/2022,30.69,30.00,30.98,30.00,75.51K,2.29%
03/01/2022,30.39,31.27,31.27,30.39,27.39K,-0.96%
03/02/2022,30.29,30.78,30.88,30.00,22.81K,-0.32%
03/03/2022,30.29,31.08,31.08,30.10,26.76K,0.00%
03/06/2022,30.00,31.08,31.27,29.90,24.06K,-0.97%
03/07/2022,28.14,29.61,29.90,27.45,106.35K,-6.21%
03/08/2022,27.55,28.63,28.63,26.18,114.58K,-2.09%
03/09/2022,28.53,29.02,29.02,28.14,72.35K,3.56%
03/10/2022,28.92,29.31,29.80,28.63,267.56K,1.37%
03/13/2022,28.92,28.92,29.22,28.73,205.25K,0.00%
03/14/2022,28.82,29.31,29.31,28.63,181.00K,-0.34%
03/15/2022,28.73,29.12,29.22,28.63,61.53K,-0.34%
03/16/2022,28.92,28.82,29.02,28.73,77.26K,0.68%
03/20/2022,28.43,28.92,28.92,28.43,35.13K,-1.69%
03/21/2022,28.04,28.33,28.63,27.94,83.32K,-1.38%
03/22/2022,28.43,28.63,28.73,28.14,19.82K,1.40%
03/23/2022,28.14,29.02,29.02,28.04,35.65K,-1.03%
03/24/2022,27.75,28.63,28.63,27.65,65.65K,-1.39%
03/27/2022,27.94,28.24,28.24,27.75,21.59K,0.71%
03/28/2022,27.75,28.14,28.14,27.55,54.77K,-0.70%
03/29/2022,28.33,27.75,28.53,27.35,90.12K,2.12%
03/30/2022,27.94,28.82,28.82,27.84,43.99K,-1.38%
03/31/2022,27.65,27.84,28.04,27.45,59.10K,-1.05%
04/03/2022,27.75,28.82,28.92,27.65,64.68K,0.35%
04/04/2022,27.55,27.84,27.84,27.55,19.51K,-0.71%
04/05/2022,27.55,27.55,27.75,27.45,30.02K,0.00%
04/06/2022,27.16,27.45,27.45,27.06,65.22K,-1.42%
04/07/2022,27.06,27.06,27.35,26.96,9.52K,-0.36%
04/10/2022,27.06,26.67,27.35,26.67,10.46K,0.00%
