Date,Price,Open,High,Low,Vol.,Change %
02/02/2022,18.10,18.20,18.70,18.00,419.73K,0.00%
02/03/2022,17.70,18.30,18.30,17.60,432.45K,-2.21%
02/06/2022,17.80,17.80,18.20,17.60,237.84K,0.56%
02/07/2022,17.70,17.80,18.10,17.60,146.12K,-0.56%
02/08/2022,17.80,17.70,17.90,17.60,245.47K,0.56%
02/09/2022,18.10,18.00,18.30,17.90,331.16K,1.69%
02/10/2022,17.90,18.10,18.30,17.70,742.05K,-1.10%
02/13/2022,17.90,18.10,18.10,17.80,179.16K,0.00%
02/14/2022,17.60,17.80,18.00,17.50,145.58K,-1.68%
02/15/2022,17.60,17.60,18.00,17.50,247.11K,0.00%
02/16/2022,17.60,18.00,18.00,17.50,180.12K,0.00%
02/17/2022,17.50,17.70,17.70,17.40,221.66K,-0.57%
02/20/2022,17.40,17.40,17.60,16.40,338.30K,-0.57%
02/22/2022,17.90,17.40,18.00,16.90,346.08K,2.87%
02/23/2022,17.90,18.00,18.10,17.70,513.37K,0.00%
02/24/2022,17.70,18.00,18.50,17.70,1.22M,-1.12%
02/27/2022,17.20,17.60,17.60,16.60,423.53K,-2.82%
02/28/2022,17.10,16.80,17.40,16.80,440.98K,-0.58%
03/01/2022,17.10,17.30,17.50,17.00,315.35K,0.00%
03/02/2022,16.60,17.10,17.10,16.30,293.18K,-2.92%
03/03/2022,16.60,16.40,16.80,16.40,143.70K,0.00%
03/06/2022,16.20,16.60,16.70,16.10,158.40K,-2.41%
03/07/2022,15.60,16.10,16.10,15.60,194.04K,-3.70%
03/08/2022,16.10,16.60,16.70,15.30,150.17K,3.21%
03/09/2022,16.80,16.30,16.90,16.20,243.95K,4.35%
03/10/2022,17.30,16.80,17.60,16.70,518.83K,2.98%
03/13/2022,18.20,17.60,18.40,17.60,683.75K,5.20%
03/14/2022,17.90,18.20,18.20,17.90,563.80K,-1.65%
03/15/2022,18.00,18.10,18.20,17.60,484.49K,0.56%
03/16/2022,17.90,18.00,18.50,17.90,466.06K,-0.56%
03/20/2022,17.60,18.20,18.20,17.60,143.39K,-1.68%
03/21/2022,17.40,17.30,17.60,17.30,354.39K,-1.14%
03/22/2022,17.70,17.40,17.80,17.40,68.85K,1.72%
03/23/2022,17.40,18.00,18.00,17.40,232.41K,-1.69%
03/24/2022,17.40,17.70,17.70,17.20,104.88K,0.00%
03/27/2022,17.40,17.70,17.70,17.30,148.04K,0.00%
03/28/2022,17.60,17.40,17.80,17.40,139.43K,1.15%
03/29/2022,17.60,17.50,17.90,17.50,190.04K,0.00%
03/30/2022,17.40,17.90,17.90,17.40,110.27K,-1.14%
03/31/2022,17.40,17.40,17.60,17.30,107.25K,0.00%
04/03/2022,17.20,17.40,17.40,17.10,514.56K,-1.15%
04/04/2022,17.20,17.10,17.30,17.00,79.97K,0.00%
04/05/2022,17.00,17.00,17.20,16.90,122.88K,-1.16%
04/06/2022,16.90,16.90,17.10,16.80,96.75K,-0.59%
04/07/2022,16.70,16.70,16.90,16.60,138.40K,-1.18%
04/10/2022,16.80,17.20,17.20,16.70,32.62K,0.60%
